시도,시군구,구분,총합계,단독주거시설,공동주거시설,공업시설,상업업무시설,혼합지역,문화체육휴양시설,공항,항만,철도,도로,기타교통통신시설,환경기초시설,교육행정시설,기타공공시설,경지정리가 된 논,경지정리가 안 된 논,경지정리가 된 밭,경지정리가 안 된 밭,시설재배지,과수원,목장양식장,기타재배지,활엽수림,침엽수림,혼효림,자연초지,골프장,묘지,기타초지,내륙습지,갯벌,염전,해변,강기슭,암벽바위,채광지역,운동장,기타나지,하천,호소,해양수
전국,  면적(㎡)  ,  면적(㎡)  ,100873282127.58998,529212626.8200003,197290490.69999996,394280326.56,632816147.2700006,36424.200000000004,103043498.34999998,1396502.1499999997,48400496.67000001,61862677.43000001,5598800746.740001,875733.2400000001,14104670.190000001,72467632.19000001,335325136.47999996,5531379689.280003,2096026894.8699994,1328679918.52,5810514735.629998,823375880.4899999,1419872995.2200003,178145836.73999995,51842896.889999956,28668254477.0,21876426992.87999,7162246300.060002,250444434.59,181217946.09000003,921612564.72,9545899786.560003,1245323199.6,35521388.410000004,34191005.56,62841102.000000015,225962795.1100001,365398423.5099999,78241100.16,50586751.15000002,2584684743.5299973,1178841836.6000009,1107691308.1800003,68144015.24999999
전국,  비율(%)  ,  비율(%)  ,1.0,0.005246311170391219,0.001955825036509234,0.003908669552967385,0.006273377190895608,3.6108867711797764e-07,0.0010215142818458607,1.3844123245971398e-05,0.0004798148295480308,0.000613271186633471,0.05550330700708573,8.681518252695746e-06,0.00013982562966633377,0.0007184026400403928,0.0033242215322771256,0.05483493322130249,0.02077881130326295,0.013171772450502937,0.05760211835162204,0.008162477349042232,0.014075808432842188,0.001766035891591903,0.0005139408156108796,0.28420067110276875,0.21687037966316494,0.07100241162968016,0.0024827628219058475,0.001796491025847516,0.009136339626129093,0.09463258838436359,0.012345421635283443,0.0003521387195974315,0.0003389500652586417,0.0006229707279724992,0.002240065856330422,0.0036223508921601677,0.0007756374979554688,0.0005014881055026559,0.025623085608146946,0.01168636344268979,0.010981017815787262,0.0006755407756417378
서울특별시,종로구,  면적(㎡)  ,23990643.009999998,1209624.4500000002,576353.28,1196.8,1615747.6199999999,30.07,311887.85000000003,0.0,0.0,0.0,5708891.76,0.0,424.76,311838.98,176718.69999999998,0.0,0.0,0.0,69511.29000000001,1917.09,0.0,13.82,7381.34,5358135.9799999995,2624111.02,2258017.7800000003,13978.73,0.0,447.21,2000640.15,23382.27,0.0,0.0,0.0,8106.81,1047133.48,0.0,85663.27000000002,511136.3300000001,39578.8,28773.370000000003,0.0
서울특별시,종로구,  비율(%)  ,1.0,0.05042067649023803,0.02402408638066763,4.988611599535448e-05,0.06734907519262862,1.253405337550392e-06,0.013000395607153844,0.0,0.0,0.0,0.23796326582911378,0.0,1.7705236154902044e-05,0.012998358562962086,0.007366151041734833,0.0,0.0,0.0,0.0028974333856339606,7.990990484085404e-05,0.0,5.760579236763026e-07,0.0003076757883030998,0.2233427414916129,0.10938060388403072,0.09412076946244387,0.0005826742532150246,0.0,1.864101765899271e-05,0.08339251887354894,0.000974641237846505,0.0,0.0,0.0,0.00033791549466268353,0.04364757874824465,0.0,0.003570695039907562,0.021305653616159582,0.0016497598661070654,0.001199358015873373,0.0
서울특별시,중구,  면적(㎡)  ,9990180.9,374018.81,315433.17000000004,228.4,2037073.74,83.73,148691.72,0.0,0.0,14922.6,4475764.42,846.2,35.0,161063.27999999997,105241.98,0.0,0.0,0.0,3248.2599999999998,821.84,0.0,0.0,1228.61,979663.6900000001,54498.69,98635.97,5792.700000000001,0.0,0.0,873768.9999999999,3115.45,0.0,0.0,0.0,0.0,8031.72,0.0,53765.04,259836.70999999996,12262.59,2107.58,0.0
서울특별시,중구,  비율(%)  ,1.0,0.03743864237733673,0.031574320140689345,2.286244886716716e-05,0.2039075929045489,8.381229613169468e-06,0.014883786538840352,0.0,0.0,0.0014937267051890921,0.4480163537378988,8.470317089052912e-05,3.503440062832095e-06,0.016122158508661236,0.010534541972107831,0.0,0.0,0.0,0.0003251452633855709,8.226477660679798e-05,0.0,0.0,0.0001229817570170326,0.09806265770422636,0.005455225540510483,0.009873291683837276,0.0005798393500562138,0.0,0.0,0.08746278057887819,0.00031185120982143576,0.0,0.0,0.0,0.0,0.0008039614177557085,0.0,0.005381788431879146,0.026009209703099567,0.001227464259430978,0.00021096514878924763,0.0
서울특별시,용산구,  면적(㎡)  ,21892570.490000002,1151701.18,804262.4099999999,11917.499999999998,1254619.0499999998,0.0,253669.7,0.0,0.0,320119.12,6339950.72,6906.77,5557.389999999999,184944.12999999998,100607.06999999999,0.0,0.0,0.0,14611.840000000002,0.0,0.0,0.0,0.0,2556733.49,1233335.3699999999,857010.3100000002,23727.499999999996,0.0,1055.1399999999999,2221010.8699999996,976.98,0.0,0.0,0.0,3207.6099999999997,0.0,0.0,91467.62,729417.5,3703226.1500000004,22535.07,0.0
서울특별시,용산구,  비율(%)  ,1.0,0.052606941726010166,0.0367367738003798,0.0005443627556409433,0.05730798265891525,0.0,0.011587022187087176,0.0,0.0,0.014622271977894176,0.28959371047342003,0.00031548465280286964,0.00025384821771104866,0.008447803335130427,0.004595489143038496,0.0,0.0,0.0,0.0006674337308482957,0.0,0.0,0.0,0.0,0.11678544057527893,0.05633579531299706,0.03914617108993491,0.00108381516966398,0.0,4.8196259113655124e-05,0.10145043822124514,4.462609817546372e-05,0.0,0.0,0.0,0.00014651591513500703,0.0,0.0,0.004178021034203371,0.03331803820538937,0.16915446962665004,0.001029347833334303,0.0
서울특별시,성동구,  면적(㎡)  ,16817152.709999997,668230.86,692341.76,88578.37,1446696.94,0.0,241732.65999999995,0.0,0.0,296179.38,6443042.679999999,0.0,282030.17000000004,272674.3,156797.02000000002,0.0,0.0,0.0,16149.46,1504.68,0.0,17.16,276.89,541811.45,17466.7,43834.33,54839.46000000001,0.0,0.0,2488521.3499999996,91198.85999999999,0.0,0.0,0.0,10241.51,11169.93,0.0,89825.5,527433.25,2313162.5,21395.54,0.0
서울특별시,성동구,  비율(%)  ,1.0,0.039735077127690546,0.041168785937723704,0.0052671442976984185,0.08602508194741844,0.0,0.014374172856042287,0.0,0.0,0.01761174350423081,0.3831232784232712,0.0,0.016770387643105376,0.016214058628239693,0.009323636569391659,0.0,0.0,0.0,0.0009602969229385086,8.947293432765649e-05,0.0,1.0203867620109162e-06,1.646473721055959e-05,0.032217787359320474,0.0010386240941734307,0.002606525061399648,0.003260924185304613,0.0,0.0,0.1479751889581313,0.005422966751426972,0.0,0.0,0.0,0.0006089919129954788,0.0006641986424585427,0.0,0.005341302511131209,0.03136281504337961,0.13754780847203238,0.0012722450921955149,0.0
서울특별시,광진구,  면적(㎡)  ,17049029.6,1164724.64,1029144.1399999999,1068.3000000000002,1137173.76,373.85,269485.44,0.0,0.0,40438.020000000004,6623066.02,0.0,6754.23,302711.8,136853.67,0.0,0.0,0.0,20136.559999999998,1622.67,0.0,0.0,0.0,928195.25,1137122.26,215222.68,12223.42,0.0,563.49,1492781.6800000004,14672.73,0.0,0.0,0.0,1413.55,414754.45,0.0,113176.42,259005.08000000002,1673736.73,52608.759999999995,0.0
서울특별시,광진구,  비율(%)  ,1.0,0.06831618381376967,0.06036379572008015,6.266045781280127e-05,0.06670020445034595,2.1927934244421745e-05,0.01580649728005634,0.0,0.0,0.0023718663729694034,0.38847172979276184,0.0,0.00039616506971165087,0.017755368317267744,0.008027065071199126,0.0,0.0,0.0,0.001181097134114894,9.517667797350765e-05,0.0,0.0,0.0,0.05444270270960172,0.06669718375056372,0.012623749565195193,0.0007169569346046534,0.0,3.305114796680275e-05,0.0875581610814964,0.0008606196566167026,0.0,0.0,0.0,8.291087722670151e-05,0.024327158772719824,0.0,0.006638291014522023,0.015191778422391852,0.0981719645791453,0.0030857333956414734,0.0
서울특별시,동대문구,  면적(㎡)  ,14277374.160000004,1024853.1,870887.48,4794.45,1632754.1600000001,0.0,213967.15999999997,0.0,0.0,184981.54,6496143.700000001,0.0,4310.299999999999,337973.56999999995,194743.95,0.0,0.0,0.0,9423.490000000002,2736.44,0.0,0.0,0.0,742594.16,107074.91,116184.74,1850.77,0.0,704.95,1535997.6,16526.71,0.0,0.0,0.0,5071.13,2643.14,0.0,115056.55000000002,541782.83,107755.72999999998,6561.6,0.0
서울특별시,동대문구,  비율(%)  ,1.0,0.0717816237436198,0.060997734614247845,0.0003358075474012792,0.11435955531475682,0.0,0.01498645042163691,0.0,0.0,0.012956271785483553,0.4549956894874848,0.0,0.0003018972502714041,0.023671969804285067,0.013640039675194724,0.0,0.0,0.0,0.0006600296311069009,0.00019166269436760348,0.0,0.0,0.0,0.052011956237756805,0.0074996220453467455,0.008137682650743109,0.0001296295788888956,0.0,4.937532574967552e-05,0.10758263969177927,0.0011575454852406834,0.0,0.0,0.0,0.0003551864609815618,0.00018512787928505188,0.0,0.008058663218503197,0.037946951864431616,0.007547307284408939,0.0004595803070275493,0.0
서울특별시,중랑구,  면적(㎡)  ,18537445.41,1160831.17,1139196.5399999998,7468.84,1134274.8000000003,0.0,245916.22999999995,0.0,0.0,260443.16000000003,7067758.390000001,1751.04,5783.700000000001,218494.88,161119.71,0.0,0.0,0.0,192630.37,3595.81,117942.42000000001,971.4200000000001,1083.19,2353259.06,953567.99,222952.24999999997,14273.89,0.0,541322.34,1788899.5999999999,30495.52,0.0,0.0,0.0,22218.92,239690.17,0.0,121142.22000000002,299042.77,230654.61000000004,664.4,0.0
서울특별시,중랑구,  비율(%)  ,1.0,0.06262088137418283,0.061453804167939004,0.00040290556950047413,0.06118830156544209,0.0,0.013265917960159752,0.0,0.0,0.01404957124564231,0.3812692759805678,9.445961734594799e-05,0.0003120009187932654,0.01178667692162876,0.008691581090946015,0.0,0.0,0.0,0.01039141940755687,0.000193975486938467,0.006362387987741619,5.2403121277755396e-05,5.843253889857308e-05,0.12694624356010445,0.05144009699878059,0.012027129146917335,0.0007700030767076444,0.0,0.029201560842249837,0.09650194837714696,0.0016450767258119198,0.0,0.0,0.0,0.0011985966517271053,0.012930053990648543,0.0,0.006535000768479675,0.016131822016785646,0.012442631921417485,3.584096866128006e-05,0.0
서울특별시,성북구,  면적(㎡)  ,24578799.45,1640334.6400000001,1362784.3,1982.08,1177347.9700000002,0.0,290876.23,0.0,0.0,45332.05,7950487.170000001,0.0,4246.8,541462.9400000001,239942.39,0.0,0.0,0.0,85064.3,382.47,1626.5,98.06,0.0,4347057.55,1567082.6400000001,1683802.94,5058.73,0.0,1116.15,2555601.66,29117.260000000002,0.0,0.0,0.0,22148.559999999998,110373.12999999999,0.0,160849.14,695158.5599999999,57591.49,1873.74,0.0
